track_name,track_artist,track_popularity,track_album_name,release_year,song_genre,danceability,energy,key,loudness,mode,speechiness,liveness,valence,tempo,duration,tempo_type,speechiness_type,key_values
Truth Or Dare,Emily Osment,44,Fight Or Flight (Bonus Track Version),2010,pop,0.56,0.75,0,-5.35,0,0.03,0.0858,0.7,137.01,182,Allegro,No Lyrics,C
Love Me Less (feat. Quinn XCII),MAX,78,Love Me Less (feat. Quinn XCII),2019,pop,0.73,0.86,11,-2.2,0,0.09,0.323,0.77,145.03,178,Allegro,No Lyrics,B
Dear No One,Tori Kelly,67,Foreword,2013,pop,0.63,0.59,6,-5.98,1,0.31,0.111,0.46,167.88,198,Vivace,No Lyrics,"F♯,G♭"
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,81,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017,pop,0.66,0.71,8,-4.15,1,0.05,0.0841,0.74,103.07,175,Andante,No Lyrics,"G♯,A♭"
Let You Love Me,Rita Ora,72,Phoenix (Deluxe Edition),2018,pop,0.48,0.85,10,-3.34,1,0.28,0.0824,0.45,96.04,191,Andante,No Lyrics,"A♯,B♭"
I Won't Give Up,Christina Grimmie,57,Side B,2017,pop,0.46,0.52,8,-4.57,1,0.05,0.348,0.16,136.99,210,Allegro,No Lyrics,"G♯,A♭"
Out Of Love,Alessia Cara,78,The Pains Of Growing,2018,pop,0.49,0.27,7,-9.25,1,0.03,0.249,0.14,117.68,228,Moderato,No Lyrics,G
Easier,5 Seconds of Summer,81,Easier,2019,pop,0.5,0.43,5,-5.6,1,0.22,0.0977,0.62,175.81,157,Vivace,No Lyrics,F
Higher,The Saturdays,57,Headlines,2010,pop,0.64,0.86,10,-3.29,1,0.03,0.264,0.6,117.01,208,Moderato,No Lyrics,"A♯,B♭"
On My Own,Austin Moon,65,Teen Beach 2 (Original TV Movie Soundtrack),2015,pop,0.67,0.59,7,-6.63,1,0.04,0.119,0.28,87.97,145,Andante,No Lyrics,G
"It's Party Time (From ""Hotel Transylvania 3"")",Joe Jonas,44,"It's Party Time (From ""Hotel Transylvania 3"")",2018,pop,0.56,0.75,8,-5.78,1,0.06,0.34,0.65,75.97,149,Adagio,No Lyrics,"G♯,A♭"
What A Time (feat. Niall Horan),Julia Michaels,78,Inner Monologue Part 1,2019,pop,0.52,0.47,0,-6.18,1,0.03,0.0853,0.39,132.85,173,Allegro,No Lyrics,C
All About Tonight,Pixie Lott,57,Young Foolish Happy (Deluxe Edition),2011,pop,0.64,0.8,2,-6.14,1,0.04,0.115,0.73,129.26,186,Allegro,No Lyrics,D
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,2019,pop,0.72,0.49,8,-6.02,1,0.03,0.0887,0.38,105.05,171,Andante,No Lyrics,"G♯,A♭"
Me And My Broken Heart,Rixton,76,Let The Road,2014,pop,0.55,0.78,5,-4.26,0,0.03,0.132,0.55,174.08,194,Vivace,No Lyrics,F
What's My Name,China Anne McClain,66,Descendants 2 (Original TV Movie Soundtrack),2017,pop,0.73,0.93,1,-4.93,1,0.16,0.211,0.66,114.03,191,Moderato,No Lyrics,"C♯,D♭"
Demi Lovato Medley,Cimorelli,55,Demi Lovato Medley,2019,pop,0.37,0.64,1,-4.84,1,0.12,0.322,0.45,180.12,267,Vivace,No Lyrics,"C♯,D♭"
Phases,PRETTYMUCH,76,Phases,2019,pop,0.77,0.64,11,-6.72,0,0.13,0.0676,0.49,105.93,216,Andante,No Lyrics,B
History,Olivia Holt,62,Olivia,2016,pop,0.77,0.63,1,-6.76,1,0.05,0.119,0.54,100.97,204,Andante,No Lyrics,"C♯,D♭"
Up,Olly Murs,68,Never Been Better (Deluxe),2014,pop,0.69,0.84,9,-4.68,1,0.03,0.101,0.64,114.95,224,Moderato,No Lyrics,A
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,78,Title (Deluxe),2015,pop,0.63,0.53,0,-7.26,1,0.04,0.177,0.42,108.04,225,Moderato,No Lyrics,C
Insomnia,Daya,75,Insomnia,2019,pop,0.75,0.65,7,-5.09,1,0.06,0.383,0.38,123.08,180,Allegro,No Lyrics,G
In My Blood,The Veronicas,58,In My Blood,2016,pop,0.54,0.81,7,-6.02,0,0.05,0.406,0.28,120,200,Allegro,No Lyrics,G
No One Compares To You,Jack & Jack,79,A Good Friend Is Nice,2019,pop,0.7,0.75,1,-6.04,1,0.04,0.0941,0.63,111.94,183,Moderato,No Lyrics,"C♯,D♭"
I'm a Mess,Bebe Rexha,80,Expectations,2018,pop,0.63,0.69,11,-6.26,0,0.03,0.0719,0.22,97,196,Andante,No Lyrics,B
Acapella,Karmin,63,Pulses,2014,pop,0.67,0.62,2,-4.93,1,0.15,0.101,0.43,169.87,199,Vivace,No Lyrics,D
Don't Hold Your Breath,Nicole Scherzinger,56,Killer Love (International Version),2011,pop,0.66,0.8,5,-6.1,0,0.03,0.187,0.67,110.95,197,Moderato,No Lyrics,F
I Luv U (with R3HAB),Sofia Carson,71,I Luv U (with R3HAB),2019,pop,0.88,0.56,1,-6.16,1,0.06,0.116,0.44,96.07,151,Andante,No Lyrics,"C♯,D♭"
A Thousand Years,Christina Perri,79,A Thousand Years,2011,pop,0.42,0.41,10,-7.45,1,0.03,0.11,0.16,139.03,285,Allegro,No Lyrics,"A♯,B♭"
Ghost Town,Adam Lambert,65,The Original High (Deluxe Version),2015,pop,0.7,0.74,4,-5.71,0,0.05,0.174,0.27,119.95,208,Moderato,No Lyrics,E
Who I Am,Nick Jonas & The Administration,49,Who I AM,2010,pop,0.64,0.76,4,-5.59,1,0.04,0.174,0.76,107.26,246,Andante,No Lyrics,E
Hate How Much I Love You,Conor Maynard,68,Hate How Much I Love You,2019,pop,0.78,0.42,0,-8.4,1,0.22,0.0862,0.69,105.08,176,Andante,No Lyrics,C
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,76,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017,pop,0.7,0.82,1,-3.86,1,0.11,0.187,0.78,98.06,216,Andante,No Lyrics,"C♯,D♭"
Not Your Birthday,Allstar Weekend,45,All the Way,2011,pop,0.68,0.94,7,-3.41,1,0.11,0.0752,0.78,129.01,206,Allegro,No Lyrics,G
Gold,Victoria Justice,43,Gold,2013,pop,0.66,0.86,7,-3.72,1,0.05,0.209,0.4,91.94,194,Andante,No Lyrics,G
Slow Dance,AJ Mitchell,78,Slow Dance,2019,pop,0.69,0.44,1,-5.67,1,0.04,0.06,0.36,127.9,179,Allegro,No Lyrics,"C♯,D♭"
Like I Did,Shane Harper,45,Like I Did,2016,pop,0.59,0.79,1,-4.3,1,0.04,0.0801,0.47,97.98,191,Andante,No Lyrics,"C♯,D♭"
"Determinate - From ""Lemonade Mouth""",Adam Hicks,64,Lemonade Mouth,2011,pop,0.56,0.77,1,-5.01,0,0.05,0.0742,0.22,139.97,198,Allegro,No Lyrics,"C♯,D♭"
"Take On the World - Theme Song From ""Girl Meets World""",Rowan Blanchard,56,"Take On the World (Theme Song From ""Girl Meets World"")",2014,pop,0.64,0.71,5,-6.47,1,0.04,0.0466,0.7,115.97,193,Moderato,No Lyrics,F
Chillin' Like a Villain,Sofia Carson,65,Descendants 2 (Original TV Movie Soundtrack),2017,pop,0.7,0.78,8,-6.66,1,0.08,0.232,0.83,113.89,194,Moderato,No Lyrics,"G♯,A♭"
"Keep It Undercover - Theme Song From ""K.C. Undercover""",Zendaya,52,"Keep It Undercover (Theme Song From ""K.C. Undercover"")",2015,pop,0.69,0.77,0,-4.44,1,0.09,0.196,0.8,109.97,157,Moderato,No Lyrics,C
"Time of Our Lives - Main Title Theme From ""I Didn't Do It""",Olivia Holt,41,Time Of Our Lives (Main Title Theme) [Music From The TV Series “I Didn’t Do It”],2014,pop,0.47,0.82,2,-4.94,1,0.09,0.199,0.65,200.04,151,Prestissimo,No Lyrics,D
Who Says,Selena Gomez & The Scene,74,When The Sun Goes Down,2011,pop,0.68,0.93,4,-2.92,1,0.05,0.149,0.74,101.02,196,Andante,No Lyrics,E
Calling All the Monsters,China Anne McClain,47,Calling All The Monsters,2011,pop,0.56,0.83,6,-5.87,0,0.1,0.487,0.49,141.97,207,Allegro,No Lyrics,"F♯,G♭"
Boombox,Laura Marano,47,Boombox,2016,pop,0.6,0.81,9,-4.98,1,0.16,0.139,0.61,127.98,196,Allegro,No Lyrics,A
Black Magic,Little Mix,76,Get Weird (Deluxe),2015,pop,0.78,0.9,4,-4.46,1,0.06,0.317,0.83,111.99,212,Moderato,No Lyrics,E
La Bella y La Bestia,Bely Basarte,37,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edición Deluxe],2017,pop,0.57,0.41,10,-8.7,1,0.04,0.104,0.33,114.95,149,Moderato,No Lyrics,"A♯,B♭"
Esperándola sin más,Ignasi Vidal,32,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edición Deluxe],2017,pop,0.32,0.4,8,-8.46,1,0.04,0.105,0.22,97.27,195,Andante,No Lyrics,"G♯,A♭"
Cuando mi vida va a comenzar,Carmen López,37,Enredados (Rapunzel) OST,2011,pop,0.7,0.46,4,-6.85,1,0.03,0.0906,0.53,108.03,152,Moderato,No Lyrics,E
Qué hay más allá,María Parrado,47,Vaiana (Banda Sonora Original en Castellano),2016,pop,0.65,0.35,4,-10.81,1,0.08,0.0959,0.12,84.06,163,Andante,No Lyrics,E
Fire,"Matthew ""Mdot"" Finley",40,Camp Rock 2: The Final Jam,2010,pop,0.71,0.95,8,-4.43,0,0.08,0.203,0.68,120.09,182,Allegro,No Lyrics,"G♯,A♭"
Can't Back Down,Demi Lovato,43,Camp Rock 2: The Final Jam,2010,pop,0.64,0.84,8,-4.38,1,0.1,0.1,0.66,120.03,200,Allegro,No Lyrics,"G♯,A♭"
"It's On - From ""Camp Rock 2: The Final Jam""",Demi Lovato,40,Camp Rock 2: The Final Jam,2010,pop,0.62,0.94,11,-3.52,0,0.14,0.0727,0.9,150,243,Allegro,No Lyrics,B
Wouldn't Change a Thing,Demi Lovato,52,Camp Rock 2: The Final Jam,2010,pop,0.35,0.88,1,-3.49,1,0.08,0.105,0.52,171.76,205,Vivace,No Lyrics,"C♯,D♭"
Introducing Me,Nick Jonas,49,Camp Rock 2: The Final Jam,2010,pop,0.51,0.5,11,-6.07,1,0.05,0.0773,0.68,112.89,188,Moderato,No Lyrics,B
This is Our Song,Demi Lovato,44,Camp Rock 2: The Final Jam,2010,pop,0.35,0.63,7,-5.31,1,0.04,0.0937,0.39,129.57,178,Allegro,No Lyrics,G
Dynamite,China Anne McClain,35,A.N.T. Farm (Original Soundtrack),2012,pop,0.66,0.79,6,-3.44,1,0.07,0.0535,0.49,121.95,163,Allegro,No Lyrics,"F♯,G♭"
Something About the Sunshine,Anna Margaret,44,Starstruck (Original Motion Picture Soundtrack),2010,pop,0.69,0.79,5,-6.22,1,0.05,0.141,0.78,125.03,188,Allegro,No Lyrics,F
Stuck On You,Nick Strand,39,Stuck On You,2019,pop,0.58,0.66,1,-2.87,0,0.07,0.146,0.44,146,158,Allegro,No Lyrics,"C♯,D♭"
Down Low,Astrid S,55,Down Low,2019,pop,0.55,0.35,6,-5.38,0,0.03,0.317,0.33,86.33,202,Andante,No Lyrics,"F♯,G♭"
Favorite Part Of Me,Astrid S,70,Down Low,2019,pop,0.6,0.5,1,-6.27,1,0.04,0.096,0.4,121.62,198,Allegro,No Lyrics,"C♯,D♭"
Years,Astrid S,69,Down Low,2019,pop,0.66,0.28,9,-7.91,1,0.03,0.0952,0.26,124.15,190,Allegro,No Lyrics,A
Some Say,Nea,81,Some Say,2019,pop,0.78,0.34,3,-6.32,0,0.04,0.132,0.48,104.99,176,Andante,No Lyrics,"D♯,E♭"
Boys Like You,Anna Clendening,69,Boys Like You,2018,pop,0.66,0.61,2,-8.82,1,0.11,0.164,0.54,95.96,187,Andante,No Lyrics,D
Slow Dance (feat. Ava Max),AJ Mitchell,41,Slow Dance,2019,pop,0.69,0.44,1,-5.67,1,0.04,0.06,0.36,127.9,179,Allegro,No Lyrics,"C♯,D♭"
Why Do You Love Me,Charlotte Lawrence,68,Why Do You Love Me,2019,pop,0.81,0.3,8,-6.17,0,0.09,0.203,0.73,120.01,172,Allegro,No Lyrics,"G♯,A♭"
Home with You,Madison Beer,73,As She Pleases,2018,pop,0.63,0.6,7,-6.14,0,0.09,0.0952,0.73,170.12,191,Vivace,No Lyrics,G
Dear Society,Madison Beer,75,Dear Society,2019,pop,0.65,0.59,7,-6.37,0,0.05,0.133,0.42,145.94,180,Allegro,No Lyrics,G
Dead,Madison Beer,61,Dead,2017,pop,0.58,0.7,2,-4.97,0,0.21,0.183,0.55,103.07,195,Andante,No Lyrics,D
Sidelove,Astrid S,54,Down Low,2019,pop,0.75,0.34,8,-5.61,1,0.03,0.104,0.51,137.87,172,Allegro,No Lyrics,"G♯,A♭"
Doing To Me,Astrid S,66,Trust Issues,2019,pop,0.72,0.76,0,-5.01,0,0.06,0.0971,0.37,132.89,190,Allegro,No Lyrics,C
Young And Beautiful,Lana Del Rey,75,Young And Beautiful,2013,pop,0.32,0.42,11,-8.92,0,0.04,0.11,0.15,113.99,236,Moderato,No Lyrics,B
The Kids Are Coming,Tones and I,69,The Kids Are Coming,2019,pop,0.75,0.57,9,-8.21,0,0.3,0.14,0.15,135.04,205,Allegro,No Lyrics,A
Never Seen The Rain,Tones and I,84,The Kids Are Coming,2019,pop,0.67,0.46,6,-5.62,0,0.04,0.284,0.27,92.07,201,Andante,No Lyrics,"F♯,G♭"
Johnny Run Away,Tones and I,71,The Kids Are Coming,2019,pop,0.8,0.54,2,-4.78,1,0.06,0.107,0.58,92.45,192,Andante,No Lyrics,D
Jimmy,Tones and I,68,The Kids Are Coming,2019,pop,0.59,0.46,8,-5.96,1,0.03,0.125,0.18,68.11,224,Adagio,No Lyrics,"G♯,A♭"
Say It to My Face,Madison Beer,57,As She Pleases,2018,pop,0.75,0.57,11,-4.76,0,0.44,0.276,0.59,113.88,190,Moderato,Mix of Lyrics & Beats,B
If The World Was Ending (feat. Julia Michaels),JP Saxe,88,If The World Was Ending (feat. Julia Michaels),2019,pop,0.46,0.47,1,-10.09,1,0.13,0.109,0.6,75.8,209,Adagio,No Lyrics,"C♯,D♭"
Trampoline,SHAED,65,Melt (Deluxe),2019,pop,0.62,0.46,7,-5.78,0,0.03,0.137,0.5,126.8,184,Allegro,No Lyrics,G
OK (Anxiety Anthem),Mabel,70,High Expectations,2019,pop,0.68,0.8,8,-3.85,0,0.09,0.128,0.53,98.98,217,Andante,No Lyrics,"G♯,A♭"
Shameless,Camila Cabello,73,Romance,2019,pop,0.38,0.65,4,-5.44,0,0.06,0.174,0.09,129.7,220,Allegro,No Lyrics,E
Up All Night,Khalid,87,Up All Night,2019,pop,0.66,0.71,1,-7.54,1,0.05,0.102,0.67,93.99,157,Andante,No Lyrics,"C♯,D♭"
Ready,Alessia Cara,77,Ready,2019,pop,0.53,0.5,0,-6.67,0,0.15,0.212,0.59,74.62,179,Adagio,No Lyrics,C
Lonely,Noah Cyrus,75,Lonely,2019,pop,0.59,0.26,5,-9.06,1,0.06,0.0924,0.3,84.65,144,Andante,No Lyrics,F
Jesus In LA,Alec Benjamin,77,Jesus In LA,2019,pop,0.77,0.63,0,-4.1,1,0.04,0.359,0.69,94.03,173,Andante,No Lyrics,C
Torn,Ava Max,81,Torn,2019,pop,0.66,0.83,2,-4.47,0,0.04,0.0596,0.7,125.06,198,Allegro,No Lyrics,D
Salt,Ava Max,80,Salt,2019,pop,0.69,0.84,6,-3.24,1,0.06,0.073,0.74,128.05,180,Allegro,No Lyrics,"F♯,G♭"
Freaking Me Out,Ava Max,76,Freaking Me Out,2019,pop,0.43,0.55,1,-4.84,0,0.07,0.0766,0.38,97.95,192,Andante,No Lyrics,"C♯,D♭"
Takeaway,The Chainsmokers,85,World War Joy,2019,pop,0.53,0.51,3,-8.14,1,0.03,0.101,0.35,100.1,210,Andante,No Lyrics,"D♯,E♭"
I Need Your Love (feat. Ellie Goulding),Calvin Harris,69,18 Months,2012,pop,0.7,0.87,8,-5.07,1,0.05,0.237,0.58,124.99,235,Allegro,No Lyrics,"G♯,A♭"
Burn,Ellie Goulding,65,Halcyon Days,2013,pop,0.56,0.78,1,-5.03,1,0.04,0.105,0.33,87.02,231,Andante,No Lyrics,"C♯,D♭"
Applause,Lady Gaga,70,ARTPOP,2013,pop,0.67,0.78,7,-4.29,0,0.05,0.143,0.74,139.94,212,Allegro,No Lyrics,G
Judas,Lady Gaga,56,Born This Way,2011,pop,0.66,0.94,10,-3.83,0,0.07,0.355,0.54,131,249,Allegro,No Lyrics,"A♯,B♭"
Ratchet,DJ White Shadow,23,The Clock Is Ticking,2013,pop,0.69,0.96,7,-6.3,1,0.08,0.211,0.3,137.99,242,Allegro,No Lyrics,G
Hey Brother,Avicii,77,TRUE,2013,pop,0.55,0.78,7,-4.87,0,0.04,0.0828,0.46,125.01,255,Allegro,No Lyrics,G
Demons,Imagine Dragons,72,Night Visions,2012,pop,0.5,0.71,3,-3.02,1,0.03,0.329,0.43,89.94,175,Andante,No Lyrics,"D♯,E♭"
Waves - Robin Schulz Radio Edit,Mr. Probz,76,Waves (Robin Schulz Radio Edit),2014,pop,0.83,0.51,5,-9.33,0,0.04,0.0829,0.45,119.99,208,Moderato,No Lyrics,F
This Is Love,will.i.am,60,#willpower (Deluxe),2013,pop,0.54,0.8,0,-3.45,0,0.04,0.145,0.28,128.95,279,Allegro,No Lyrics,C
Die Young,Kesha,73,Warrior (Expanded Edition),2012,pop,0.71,0.7,1,-4.8,0,0.05,0.215,0.8,128,212,Allegro,No Lyrics,"C♯,D♭"
Give Me Everything,Pitbull,79,Planet Pit (Deluxe Version),2011,pop,0.67,0.94,8,-3.21,1,0.16,0.298,0.53,129.02,252,Allegro,No Lyrics,"G♯,A♭"
Starships,Nicki Minaj,69,Pink Friday ... Roman Reloaded,2011,pop,0.75,0.72,11,-2.46,0,0.08,0.251,0.75,125.01,211,Allegro,No Lyrics,B
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,73,"At Night, Alone.",2016,pop,0.66,0.71,7,-6.65,0,0.11,0.0843,0.69,101.97,198,Andante,No Lyrics,G
Habits (Stay High) - The Chainsmokers Extended Mix,Tove Lo,48,Habits (Stay High) [The Chainsmokers Extended Mix],2014,pop,0.68,0.77,10,-5.98,1,0.04,0.0894,0.04,128.03,294,Allegro,No Lyrics,"A♯,B♭"
Pompeii,Bastille,70,Bad Blood,2013,pop,0.68,0.72,9,-6.38,1,0.04,0.271,0.57,127.44,214,Allegro,No Lyrics,A
It's Time,Imagine Dragons,66,Night Visions,2012,pop,0.66,0.88,2,-4.75,1,0.04,0.145,0.86,105.01,238,Andante,No Lyrics,D
DANCE,CLMD,76,DANCE,2019,pop,0.77,0.55,7,-7.83,1,0.04,0.21,0.55,122.01,174,Allegro,No Lyrics,G
The First One,Astrid S,67,The First One,2019,pop,0.54,0.54,7,-8.3,1,0.16,0.103,0.18,159.42,189,Vivace,No Lyrics,G
So High,Ruben,63,So High,2019,pop,0.57,0.5,11,-7.36,1,0.07,0.0924,0.24,119.78,220,Moderato,No Lyrics,B
Grip,Seeb,73,Grip,2018,pop,0.6,0.9,4,-2.29,1,0.05,0.264,0.5,138.09,198,Allegro,No Lyrics,E
Watermelon Sugar,Harry Styles,90,Watermelon Sugar,2019,pop,0.55,0.82,0,-4.21,1,0.05,0.335,0.56,95.39,174,Andante,No Lyrics,C
If You Can't Hang,Sleeping With Sirens,65,Let's Cheers To This,2011,pop,0.4,0.98,2,-3.53,0,0.36,0.118,0.45,192.02,250,Vivace,Mix of Lyrics & Beats,D
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,60,With Ears To See And Eyes To Hear,2010,pop,0.42,0.94,8,-5.52,0,0.08,0.926,0.42,158.05,219,Vivace,No Lyrics,"G♯,A♭"
The Bomb Dot Com V2.0,Sleeping With Sirens,49,With Ears To See And Eyes To Hear,2010,pop,0.41,0.96,7,-4.88,1,0.08,0.359,0.52,165.04,212,Vivace,No Lyrics,G
You Kill Me (In a Good Way),Sleeping With Sirens,45,With Ears To See And Eyes To Hear,2010,pop,0.38,0.91,3,-5.05,0,0.06,0.103,0.61,155.02,222,Allegro,No Lyrics,"D♯,E♭"
Captain Tyin Knots VS Mr Walkway (No Way),Sleeping With Sirens,38,With Ears To See And Eyes To Hear,2010,pop,0.38,0.94,9,-5.43,1,0.16,0.225,0.47,178.06,203,Vivace,No Lyrics,A
"In Case of Emergency, Dial 411",Sleeping With Sirens,40,With Ears To See And Eyes To Hear,2010,pop,0.43,0.96,3,-5.23,0,0.07,0.162,0.6,155.1,164,Allegro,No Lyrics,"D♯,E♭"
The Left Side of Everywhere,Sleeping With Sirens,42,With Ears To See And Eyes To Hear,2010,pop,0.37,0.97,11,-4.8,1,0.1,0.735,0.41,180.04,179,Vivace,No Lyrics,B
The Consequence,You Me At Six,38,Hold Me Down,2010,pop,0.36,0.92,9,-5.74,1,0.11,0.632,0.2,159.93,267,Vivace,No Lyrics,A
Underdog,You Me At Six,55,Hold Me Down,2010,pop,0.38,0.96,1,-3.61,1,0.09,0.0531,0.79,156.07,143,Vivace,No Lyrics,"C♯,D♭"
Playing The Blame Game,You Me At Six,38,Hold Me Down,2010,pop,0.35,0.87,11,-4.86,0,0.06,0.0897,0.59,172.16,186,Vivace,No Lyrics,B
Safer To Hate Her,You Me At Six,38,Hold Me Down,2010,pop,0.39,0.86,2,-4.74,1,0.07,0.196,0.46,75,198,Adagio,No Lyrics,D
Liquid Confidence (Nothing To Lose),You Me At Six,42,Hold Me Down,2010,pop,0.53,0.66,4,-5.69,1,0.04,0.356,0.5,120.05,192,Allegro,No Lyrics,E
Hard To Swallow,You Me At Six,37,Hold Me Down,2010,pop,0.38,0.87,2,-4.29,0,0.04,0.129,0.59,145.91,205,Allegro,No Lyrics,D
There’s No Such Thing As Accidental Infidelity,You Me At Six,37,Hold Me Down,2010,pop,0.43,0.78,11,-4.71,1,0.04,0.141,0.49,82.96,227,Andante,No Lyrics,B
Fireworks,You Me At Six,42,Hold Me Down,2010,pop,0.48,0.58,6,-5.17,1,0.03,0.0876,0.22,79.99,260,Andante,No Lyrics,"F♯,G♭"
Loverboy,You Me At Six,19,Loverboy,2011,pop,0.52,0.74,2,-4.56,0,0.04,0.27,0.5,139.89,197,Allegro,No Lyrics,D
Loverboy - Acoustic Version,You Me At Six,22,Loverboy,2011,pop,0.64,0.49,7,-7.82,1,0.03,0.102,0.46,137.99,186,Allegro,No Lyrics,G
Starry Eyed,You Me At Six,28,Stay With Me,2010,pop,0.71,0.74,1,-6.72,1,0.04,0.129,0.92,150.03,150,Allegro,No Lyrics,"C♯,D♭"
Guts,All Time Low,0,Dirty Work,2011,pop,0.41,0.98,11,-2.85,0,0.14,0.108,0.49,180.01,197,Vivace,No Lyrics,B
Cheap Shots & Setbacks,AS IT IS,8,"Never Happy, Ever After",2015,pop,0.41,0.98,5,-4.77,1,0.08,0.147,0.55,157.04,173,Vivace,No Lyrics,F
Time-Bomb,All Time Low,0,Dirty Work,2011,pop,0.52,0.92,11,-3.91,0,0.05,0.339,0.67,139.04,210,Allegro,No Lyrics,B
That Girl,All Time Low,0,Dirty Work,2011,pop,0.56,0.94,10,-3.11,1,0.04,0.295,0.9,91.97,192,Andante,No Lyrics,"A♯,B♭"
Give It Up,The Friday Night Boys,12,Everything You Ever Wanted: The B-Sides,2011,pop,0.43,0.94,6,-4.03,1,0.04,0.346,0.87,146.99,224,Allegro,No Lyrics,"F♯,G♭"
"You Do, You Don't",The Friday Night Boys,13,Everything You Ever Wanted: The B-Sides,2011,pop,0.44,0.42,5,-8.56,1,0.03,0.118,0.44,76.1,267,Andante,No Lyrics,F
"Call Me Hopeless, but Not Romantic",Mayday Parade,42,Mayday Parade (Deluxe Edition),2011,pop,0.43,0.87,1,-2.89,1,0.03,0.103,0.3,110.51,209,Moderato,No Lyrics,"C♯,D♭"
Long Lost Friends,Transit,32,Listen & Forgive,2011,pop,0.53,0.9,11,-4.29,1,0.04,0.129,0.7,139,214,Allegro,No Lyrics,B
Punishment,Man Overboard,13,Man Overboard,2011,pop,0.36,0.96,3,-3.68,1,0.1,0.268,0.44,160.18,173,Vivace,No Lyrics,"D♯,E♭"
Picture Perfect,Man Overboard,16,Man Overboard,2011,pop,0.48,0.81,6,-4.56,1,0.06,0.135,0.48,136.06,184,Allegro,No Lyrics,"F♯,G♭"
Night Feelings,Man Overboard,14,Man Overboard,2011,pop,0.53,0.96,6,-4.05,1,0.08,0.318,0.58,108.86,204,Moderato,No Lyrics,"F♯,G♭"
Montrose,Man Overboard,0,Real Talk,2010,pop,0.49,0.96,5,-4.67,0,0.07,0.152,0.43,130.02,173,Allegro,No Lyrics,F
Havana (feat. Young Thug),Camila Cabello,84,Camila,2018,pop,0.76,0.52,2,-4.33,1,0.03,0.132,0.39,104.99,217,Andante,No Lyrics,D
Stitches,Shawn Mendes,77,Handwritten,2015,pop,0.75,0.75,1,-6.68,1,0.07,0.0486,0.76,149.88,207,Allegro,No Lyrics,"C♯,D♭"
Bad Liar,Selena Gomez,73,Bad Liar,2017,pop,0.96,0.41,1,-6.41,1,0.07,0.0767,0.73,121.03,215,Allegro,No Lyrics,"C♯,D♭"
Most Girls,Hailee Steinfeld,76,Most Girls,2017,pop,0.76,0.57,9,-7.02,1,0.08,0.0853,0.42,102.99,204,Andante,No Lyrics,A
Swish Swish,Katy Perry,71,Witness (Deluxe),2017,pop,0.84,0.7,5,-5.19,0,0.04,0.102,0.57,119.95,243,Moderato,No Lyrics,F
Strip That Down,Liam Payne,74,Strip That Down,2017,pop,0.87,0.5,6,-5.48,1,0.06,0.0761,0.54,106.02,205,Andante,No Lyrics,"F♯,G♭"
Cool for the Summer,Demi Lovato,70,Confident (Deluxe Edition),2015,pop,0.58,0.61,5,-5.64,0,0.04,0.14,0.34,114.06,215,Moderato,No Lyrics,F
Blank Space,Taylor Swift,78,1989 (Deluxe),2014,pop,0.76,0.7,5,-5.41,1,0.05,0.0913,0.57,96,232,Andante,No Lyrics,F
Same Old Love,Selena Gomez,68,Revival (Deluxe),2015,pop,0.67,0.59,11,-4.01,0,0.03,0.214,0.44,98.02,229,Andante,No Lyrics,B
"thank u, next",Ariana Grande,87,"thank u, next",2019,pop,0.72,0.65,1,-5.63,1,0.07,0.101,0.41,106.97,207,Andante,No Lyrics,"C♯,D♭"
Dark Horse,Katy Perry,77,PRISM (Deluxe),2013,pop,0.64,0.58,6,-6.12,1,0.05,0.165,0.35,131.93,216,Allegro,No Lyrics,"F♯,G♭"
"Sit Still, Look Pretty",Daya,59,"Sit Still, Look Pretty",2017,pop,0.66,0.79,2,-3.03,1,0.26,0.178,0.55,181.8,202,Vivace,No Lyrics,D
The Cure,Lady Gaga,70,The Cure,2017,pop,0.7,0.51,8,-4.86,1,0.03,0.0893,0.52,100,211,Andante,No Lyrics,"G♯,A♭"
Best Song Ever,One Direction,72,Midnight Memories (Deluxe),2013,pop,0.65,0.88,1,-2.99,1,0.05,0.0789,0.49,118.49,200,Moderato,No Lyrics,"C♯,D♭"
Slow Hands,Niall Horan,77,Flicker (Deluxe),2017,pop,0.74,0.42,0,-6.65,1,0.05,0.055,0.85,85.89,188,Andante,No Lyrics,C
no tears left to cry,Ariana Grande,83,Sweetener,2018,pop,0.7,0.71,9,-5.51,0,0.06,0.294,0.35,121.99,206,Allegro,No Lyrics,A
Girls Like You (feat. Cardi B),Maroon 5,80,Red Pill Blues (Deluxe),2018,pop,0.85,0.54,0,-6.83,1,0.05,0.13,0.45,124.96,236,Allegro,No Lyrics,C
